gene_id	mean_nucA_count	mean_nucC_count	mean_nucG_count	mean_nucT_count	mean_nucN_count	mean_nucO_count	mean_gene_length	mean_gc_content
ENSFDAG00000003993	89.0	122.0	125.0	45.0	0.0	0.0	381.0	0.648293963255
ENSFDAG00000022909	434.0	402.0	353.0	529.0	0.0	0.0	1718.0	0.439464493597
ENSFDAG00000009222	217.0	225.0	183.0	296.0	0.0	0.0	921.0	0.442996742671
ENSFDAG00000010266	328.0	197.0	248.0	259.0	0.0	0.0	1032.0	0.431201550388
ENSFDAG00000022910	73.0	37.0	45.0	59.0	0.0	0.0	214.0	0.383177570093
ENSFDAG00000010534	278.0	171.0	225.0	211.0	0.0	0.0	885.0	0.447457627119
ENSFDAG00000015254	302.0	182.0	200.0	234.0	0.0	0.0	918.0	0.416122004357
ENSFDAG00000022911	115.0	93.0	80.0	107.0	0.0	0.0	395.0	0.437974683544
ENSFDAG00000004286	207.0	225.0	187.0	278.0	0.0	0.0	897.0	0.459308807135
ENSFDAG00000022912	212.0	204.0	190.0	261.0	0.0	0.0	867.0	0.454440599769
ENSFDAG00000022913	250.0	325.0	249.0	339.0	0.0	0.0	1163.0	0.493551160791
ENSFDAG00000022914	177.0	126.5	190.0	169.0	0.0	0.0	662.5	0.477735849057
ENSFDAG00000015160	333.5	434.0	459.0	355.0	0.0	0.0	1581.5	0.564653809674
ENSFDAG00000022915	146.5	190.5	194.0	143.0	0.0	0.0	674.0	0.570474777448
ENSFDAG00000016781	1119.0	1228.0	1104.0	1201.0	0.0	0.0	4652.0	0.501289767842
ENSFDAG00000022916	74.0	114.0	85.0	76.0	0.0	0.0	349.0	0.570200573066
ENSFDAG00000001458	804.0	897.0	819.0	881.0	0.0	0.0	3401.0	0.504557483093
ENSFDAG00000022917	354.0	191.0	194.0	317.0	0.0	0.0	1056.0	0.364583333333
ENSFDAG00000022918	129.0	139.0	144.0	119.0	0.0	0.0	531.0	0.532956685499
ENSFDAG00000022919	256.0	178.0	185.0	162.0	0.0	0.0	781.0	0.464788732394
ENSFDAG00000022920	129.0	94.0	106.0	103.0	0.0	0.0	432.0	0.462962962963
ENSFDAG00000022921	71.0	103.0	99.0	73.0	0.0	0.0	346.0	0.583815028902
ENSFDAG00000022922	158.5	158.5	168.0	150.0	0.0	0.0	635.0	0.514173228346
ENSFDAG00000022923	70.0	81.0	59.0	77.0	0.0	0.0	287.0	0.487804878049
ENSFDAG00000022924	152.0	133.0	153.0	171.0	0.0	0.0	609.0	0.469622331691
ENSFDAG00000022925	161.0	186.0	149.5	142.5	0.0	0.0	639.0	0.525039123631
ENSFDAG00000022926	357.0	381.0	376.0	313.0	0.0	0.0	1427.0	0.530483531885
ENSFDAG00000022927	22.0	37.0	25.0	19.0	0.0	0.0	103.0	0.601941747573
ENSFDAG00000022928	93.0	76.0	138.0	63.0	0.0	0.0	370.0	0.578378378378
ENSFDAG00000022929	228.0	252.0	230.0	218.0	0.0	0.0	928.0	0.519396551724
ENSFDAG00000022930	230.0	205.0	197.0	198.0	0.0	0.0	830.0	0.484337349398
ENSFDAG00000022931	160.5	178.0	208.5	140.0	0.0	0.0	687.0	0.562590975255
ENSFDAG00000022932	217.0	275.0	329.0	224.0	0.0	0.0	1045.0	0.577990430622
ENSFDAG00000003307	13.0	36.0	24.0	15.0	0.0	0.0	88.0	0.681818181818
ENSFDAG00000013920	229.0	260.0	199.0	260.0	0.0	0.0	948.0	0.48417721519
ENSFDAG00000027953	51.0	61.0	74.0	88.0	0.0	0.0	274.0	0.492700729927
ENSFDAG00000027958	274.0	210.0	218.0	309.0	0.0	0.0	1011.0	0.42334322453
ENSFDAG00000027964	18.0	42.0	28.0	44.0	0.0	0.0	132.0	0.530303030303
ENSFDAG00000027971	53.0	63.0	39.0	41.0	0.0	0.0	196.0	0.520408163265
ENSFDAG00000005414	250.0	311.0	254.0	349.0	0.0	0.0	1164.0	0.485395189003
ENSFDAG00000015622	352.0	415.0	439.0	312.0	0.0	0.0	1518.0	0.562582345191
ENSFDAG00000005902	866.0	972.0	862.0	1024.0	0.0	0.0	3724.0	0.492481203008
ENSFDAG00000018232	243.0	316.0	308.0	261.0	0.0	0.0	1128.0	0.553191489362
ENSFDAG00000009452	292.0	357.0	353.0	294.0	0.0	0.0	1296.0	0.547839506173
ENSFDAG00000012095	350.0	359.0	359.0	371.0	0.0	0.0	1439.0	0.498957609451
ENSFDAG00000017842	793.0	996.0	943.0	1063.0	0.0	0.0	3795.0	0.51093544137
ENSFDAG00000018152	1128.0	795.0	861.0	942.0	0.0	0.0	3726.0	0.444444444444
ENSFDAG00000008415	223.0	202.0	257.0	197.0	0.0	0.0	879.0	0.522184300341
ENSFDAG00000009550	334.0	455.0	472.0	369.0	0.0	0.0	1630.0	0.568711656442
ENSFDAG00000011871	231.0	447.0	429.0	298.0	0.0	0.0	1405.0	0.623487544484
ENSFDAG00000009203	406.0	569.0	642.0	342.0	0.0	0.0	1959.0	0.618172537009
ENSFDAG00000027977	238.0	219.0	237.0	220.0	0.0	0.0	914.0	0.498905908096
ENSFDAG00000027982	141.0	100.0	142.0	122.0	0.0	0.0	505.0	0.479207920792
ENSFDAG00000027987	257.0	285.0	298.0	285.0	0.0	0.0	1125.0	0.518222222222
ENSFDAG00000027990	74.0	98.0	94.0	62.0	0.0	0.0	328.0	0.585365853659
ENSFDAG00000027995	293.0	217.0	230.0	287.0	0.0	0.0	1027.0	0.435248296008
ENSFDAG00000009569	500.0	506.0	482.0	477.0	0.0	0.0	1965.0	0.502798982188
ENSFDAG00000027997	84.0	72.0	78.0	104.0	0.0	0.0	338.0	0.443786982249
ENSFDAG00000028003	144.0	145.0	96.0	150.0	0.0	0.0	535.0	0.45046728972
ENSFDAG00000020045	430.5	417.5	483.5	333.0	0.0	0.0	1664.5	0.541303694803
ENSFDAG00000028008	167.0	151.0	128.0	166.0	0.0	0.0	612.0	0.455882352941
ENSFDAG00000007367	1276.0	726.0	877.0	838.0	0.0	0.0	3717.0	0.431261770245
ENSFDAG00000012932	368.0	342.0	416.0	522.0	0.0	0.0	1648.0	0.459951456311
ENSFDAG00000010667	574.0	555.0	548.0	575.0	0.0	0.0	2252.0	0.489786856128
ENSFDAG00000004470	71.0	80.0	81.0	55.0	0.0	0.0	287.0	0.560975609756
ENSFDAG00000028012	246.5	169.5	211.5	229.0	0.0	0.0	856.5	0.444833625219
ENSFDAG00000029645	169.0	145.0	131.0	133.0	0.0	0.0	578.0	0.477508650519
ENSFDAG00000029648	81.0	102.0	84.0	132.0	0.0	0.0	399.0	0.466165413534
ENSFDAG00000004736	459.0	415.0	481.0	331.0	0.0	0.0	1686.0	0.531435349941
ENSFDAG00000013001	299.0	248.0	223.0	322.0	0.0	0.0	1092.0	0.431318681319
ENSFDAG00000001606	31.0	31.0	30.0	32.0	0.0	0.0	124.0	0.491935483871
ENSFDAG00000018542	36.0	21.0	24.0	30.0	0.0	0.0	111.0	0.405405405405
ENSFDAG00000029653	357.0	237.0	249.0	294.0	0.0	0.0	1137.0	0.427440633245
ENSFDAG00000018935	521.0	592.0	647.0	547.0	0.0	0.0	2307.0	0.537061118336
ENSFDAG00000029660	149.0	156.0	192.0	140.0	0.0	0.0	637.0	0.546310832025
ENSFDAG00000029668	59.0	109.0	96.0	76.0	0.0	0.0	340.0	0.602941176471
ENSFDAG00000029674	144.0	125.0	122.0	135.0	0.0	0.0	526.0	0.469581749049
ENSFDAG00000029681	120.0	150.0	153.0	173.0	0.0	0.0	596.0	0.508389261745
ENSFDAG00000029685	96.0	118.0	151.0	122.0	0.0	0.0	487.0	0.552361396304
ENSFDAG00000029698	170.0	133.0	148.0	138.0	0.0	0.0	589.0	0.477079796265
ENSFDAG00000029703	109.5	162.5	156.5	135.5	0.0	0.0	564.0	0.565602836879
ENSFDAG00000013142	293.5	288.5	268.5	290.0	22.0	0.0	1162.5	0.479139784946
ENSFDAG00000007939	1086.0	1110.0	1024.0	1204.0	0.0	0.0	4424.0	0.482368896926
ENSFDAG00000029713	177.0	136.0	163.0	145.0	0.0	0.0	621.0	0.481481481481
ENSFDAG00000029718	74.0	102.0	67.0	102.0	0.0	0.0	345.0	0.489855072464
ENSFDAG00000006464	253.0	285.0	245.0	243.0	0.0	0.0	1026.0	0.51656920078
ENSFDAG00000029629	232.0	241.0	239.0	267.0	0.0	0.0	979.0	0.490296220633
ENSFDAG00000029630	267.0	218.0	227.0	238.0	0.0	0.0	950.0	0.468421052632
ENSFDAG00000029631	49.0	57.0	71.0	39.0	0.0	0.0	216.0	0.592592592593
ENSFDAG00000029633	229.0	292.0	287.0	229.0	0.0	0.0	1037.0	0.558341369335
ENSFDAG00000029635	137.5	133.5	136.5	155.0	0.0	0.0	562.5	0.48
ENSFDAG00000029638	321.0	543.0	297.0	436.0	0.0	0.0	1597.0	0.52598622417
ENSFDAG00000029641	115.0	117.0	145.0	103.0	0.0	0.0	480.0	0.545833333333
ENSFDAG00000004213	963.0	1538.0	1401.0	667.0	0.0	0.0	4569.0	0.643247975487
ENSFDAG00000012753	223.0	219.0	173.0	237.0	0.0	0.0	852.0	0.460093896714
ENSFDAG00000019139	789.5	605.5	745.0	669.5	0.0	0.0	2809.5	0.480690514326
ENSFDAG00000029644	121.0	128.0	148.0	123.0	0.0	0.0	520.0	0.530769230769
ENSFDAG00000007450	2667.33333333	2032.33333333	2437.0	1718.0	0.0	0.0	8854.66666667	0.504743261557
ENSFDAG00000009231	754.0	439.0	561.0	681.0	0.0	0.0	2435.0	0.41067761807
ENSFDAG00000029646	229.5	189.0	239.0	234.5	0.0	0.0	892.0	0.479820627803
ENSFDAG00000029652	155.0	123.0	159.0	156.0	0.0	0.0	593.0	0.475548060708
ENSFDAG00000029659	110.0	111.0	140.0	101.0	0.0	0.0	462.0	0.54329004329
ENSFDAG00000029664	1247.0	1084.0	1206.0	1439.0	0.0	0.0	4976.0	0.460209003215
ENSFDAG00000016967	229.0	277.0	254.0	200.0	0.0	0.0	960.0	0.553125
ENSFDAG00000029671	245.0	186.0	224.0	260.0	0.0	0.0	915.0	0.448087431694
ENSFDAG00000014422	231.0	354.0	313.0	327.0	0.0	0.0	1225.0	0.544489795918
ENSFDAG00000002952	249.0	189.0	175.0	263.0	0.0	0.0	876.0	0.415525114155
ENSFDAG00000029678	72.0	62.0	48.0	83.0	0.0	0.0	265.0	0.415094339623
ENSFDAG00000009906	530.5	345.0	300.0	520.0	0.0	0.0	1695.5	0.380418755529
ENSFDAG00000029684	572.0	467.0	546.0	454.0	0.0	0.0	2039.0	0.496812162825
ENSFDAG00000029692	146.0	111.0	73.0	211.0	0.0	0.0	541.0	0.34011090573
ENSFDAG00000029699	128.0	86.0	129.0	102.0	0.0	0.0	445.0	0.483146067416
ENSFDAG00000029704	166.0	128.0	116.0	159.0	0.0	0.0	569.0	0.428822495606
ENSFDAG00000000926	84.0	26.0	25.0	63.0	0.0	0.0	198.0	0.257575757576
ENSFDAG00000029712	116.0	142.0	156.0	149.0	0.0	0.0	563.0	0.529307282416
ENSFDAG00000029719	33.0	35.0	41.0	52.0	0.0	0.0	161.0	0.472049689441
ENSFDAG00000029721	156.5	129.5	124.5	165.0	0.0	0.0	575.5	0.44135534318
ENSFDAG00000033480	361.0	283.5	253.0	311.5	0.0	0.0	1209.0	0.443755169562
ENSFDAG00000033481	89.0	52.0	60.0	104.0	0.0	0.0	305.0	0.367213114754
ENSFDAG00000033482	304.0	286.5	262.0	390.0	0.0	0.0	1242.5	0.441448692153
ENSFDAG00000033483	102.0	88.0	74.0	71.0	0.0	0.0	335.0	0.483582089552
ENSFDAG00000033484	210.5	184.5	200.5	165.5	0.0	0.0	761.0	0.505913272011
ENSFDAG00000007366	195.0	300.0	362.0	292.0	0.0	0.0	1149.0	0.576153176675
ENSFDAG00000033485	445.0	550.0	555.0	377.0	0.0	0.0	1927.0	0.573430202387
ENSFDAG00000033486	792.0	1160.0	1128.0	881.0	0.0	0.0	3961.0	0.577631911134
ENSFDAG00000033487	318.0	352.0	291.0	330.0	0.0	0.0	1291.0	0.498063516654
ENSFDAG00000019231	302.0	346.0	318.0	283.0	0.0	0.0	1249.0	0.53162530024
ENSFDAG00000009745	990.0	1036.0	954.0	1057.0	0.0	0.0	4037.0	0.492940302205
ENSFDAG00000005380	1035.0	975.5	988.0	1065.5	0.0	0.0	4064.0	0.483144685039
ENSFDAG00000033488	220.0	176.0	187.0	243.0	0.0	0.0	826.0	0.439467312349
ENSFDAG00000033489	65.0	43.0	57.0	74.0	0.0	0.0	239.0	0.418410041841
ENSFDAG00000033490	204.666666667	131.0	136.333333333	148.333333333	0.0	0.0	620.333333333	0.430951101558
ENSFDAG00000033491	104.0	129.0	94.0	125.0	0.0	0.0	452.0	0.493362831858
ENSFDAG00000016417	333.0	246.0	266.5	307.5	0.0	0.0	1153.0	0.444492627927
ENSFDAG00000033492	109.0	105.0	117.0	114.0	0.0	0.0	445.0	0.498876404494
ENSFDAG00000011184	1253.0	710.0	847.0	1412.0	0.0	0.0	4222.0	0.368782567504
ENSFDAG00000001592	1223.0	1127.0	1175.0	1334.0	0.0	0.0	4859.0	0.473760032929
ENSFDAG00000029734	71.0	56.0	50.0	59.0	0.0	0.0	236.0	0.449152542373
ENSFDAG00000029738	298.0	179.0	260.0	285.0	0.0	0.0	1022.0	0.429549902153
ENSFDAG00000029741	132.0	83.0	98.5	165.5	0.0	0.0	479.0	0.37891440501
ENSFDAG00000011687	67.0	87.5	107.5	99.5	0.0	0.0	361.5	0.539419087137
ENSFDAG00000001873	31.0	16.0	24.0	44.0	0.0	0.0	115.0	0.347826086957
ENSFDAG00000015974	198.0	162.0	157.0	182.0	0.0	0.0	699.0	0.456366237482
ENSFDAG00000010382	600.0	450.0	440.0	553.0	0.0	0.0	2043.0	0.435633871757
ENSFDAG00000029745	78.0	87.0	62.0	82.0	0.0	0.0	309.0	0.482200647249
ENSFDAG00000010932	2601.0	2394.0	2096.0	2196.0	0.0	0.0	9287.0	0.483471519328
ENSFDAG00000005660	591.0	530.0	545.0	612.0	0.0	0.0	2278.0	0.471905179982
ENSFDAG00000029749	62.0	47.0	43.0	54.0	0.0	0.0	206.0	0.436893203883
ENSFDAG00000029752	103.0	55.0	63.0	67.0	0.0	0.0	288.0	0.409722222222
ENSFDAG00000029757	78.0	53.0	54.0	67.5	0.0	0.0	252.5	0.423762376238
ENSFDAG00000029764	149.0	90.0	106.0	151.0	0.0	0.0	496.0	0.395161290323
ENSFDAG00000029767	90.0	74.0	64.0	74.0	0.0	0.0	302.0	0.456953642384
ENSFDAG00000029772	185.0	182.0	175.0	191.0	0.0	0.0	733.0	0.487039563438
ENSFDAG00000029778	382.0	263.0	319.0	329.0	0.0	0.0	1293.0	0.450116009281
ENSFDAG00000029782	79.0	50.0	51.0	57.0	0.0	0.0	237.0	0.426160337553
ENSFDAG00000017560	819.666666667	879.0	872.0	690.666666667	0.0	0.0	3261.33333333	0.536896974652
ENSFDAG00000019943	59.0	97.0	74.0	70.0	0.0	0.0	300.0	0.57
ENSFDAG00000029789	244.0	263.0	364.0	277.0	0.0	0.0	1148.0	0.546167247387
ENSFDAG00000007124	353.0	331.0	325.0	286.0	0.0	0.0	1295.0	0.506563706564
ENSFDAG00000012748	191.0	388.0	393.0	226.0	0.0	0.0	1198.0	0.651919866444
ENSFDAG00000013547	299.0	291.0	303.0	272.0	0.0	0.0	1165.0	0.509871244635
ENSFDAG00000012580	223.0	127.0	187.0	117.0	0.0	0.0	654.0	0.480122324159
ENSFDAG00000003362	473.0	410.0	356.0	571.0	0.0	0.0	1810.0	0.42320441989
ENSFDAG00000022342	107.0	120.0	110.0	131.0	0.0	0.0	468.0	0.491452991453
ENSFDAG00000022343	106.0	113.0	88.0	89.0	0.0	0.0	396.0	0.507575757576
ENSFDAG00000011746	1209.0	880.0	953.0	1087.0	0.0	0.0	4129.0	0.443933155728
ENSFDAG00000022344	500.5	371.5	398.5	459.5	0.0	0.0	1730.0	0.445086705202
ENSFDAG00000004744	66.0	83.0	74.0	60.0	0.0	0.0	283.0	0.554770318021
ENSFDAG00000000233	746.0	661.0	742.0	927.0	0.0	0.0	3076.0	0.45611183355
ENSFDAG00000022345	28.0	25.0	39.0	43.0	0.0	0.0	135.0	0.474074074074
ENSFDAG00000022346	47.0	35.0	46.0	68.0	0.0	0.0	196.0	0.413265306122
ENSFDAG00000022347	386.0	434.0	420.0	466.0	0.0	0.0	1706.0	0.500586166471
ENSFDAG00000022348	114.0	91.0	106.0	87.0	0.0	0.0	398.0	0.494974874372
ENSFDAG00000022349	57.0	66.0	78.0	72.0	0.0	0.0	273.0	0.527472527473
ENSFDAG00000014888	124.0	108.0	102.0	101.0	0.0	0.0	435.0	0.48275862069
ENSFDAG00000022350	154.0	233.0	216.0	189.0	0.0	0.0	792.0	0.566919191919
ENSFDAG00000022351	311.0	265.0	280.0	260.0	0.0	0.0	1116.0	0.48835125448
ENSFDAG00000022352	132.0	145.0	89.0	191.0	0.0	0.0	557.0	0.420107719928
ENSFDAG00000000210	305.0	287.0	298.0	304.0	0.0	0.0	1194.0	0.489949748744
ENSFDAG00000022353	121.0	137.0	152.0	148.0	0.0	0.0	558.0	0.517921146953
ENSFDAG00000022354	141.666666667	120.0	97.0	157.0	0.0	0.0	515.666666667	0.420814479638
ENSFDAG00000022355	43.0	50.0	31.0	54.0	0.0	0.0	178.0	0.455056179775
ENSFDAG00000022356	130.0	110.0	128.0	98.0	0.0	0.0	466.0	0.510729613734
ENSFDAG00000022357	169.0	201.0	172.0	214.0	0.0	0.0	756.0	0.493386243386
ENSFDAG00000000295	1088.0	1108.0	1187.0	732.0	0.0	0.0	4115.0	0.557715674362
ENSFDAG00000001788	26.0	31.0	23.0	27.0	0.0	0.0	107.0	0.504672897196
ENSFDAG00000016277	247.0	345.0	282.0	321.0	0.0	0.0	1195.0	0.524686192469
ENSFDAG00000022358	63.0	40.0	21.0	56.0	0.0	0.0	180.0	0.338888888889
ENSFDAG00000023173	100.0	74.0	53.0	63.0	0.0	0.0	290.0	0.437931034483
ENSFDAG00000023174	70.0	36.0	34.0	45.0	0.0	0.0	185.0	0.378378378378
ENSFDAG00000015033	908.0	821.0	891.0	954.0	0.0	0.0	3574.0	0.479015109121
ENSFDAG00000023175	93.0	108.0	76.0	134.0	0.0	0.0	411.0	0.447688564477
ENSFDAG00000023176	60.0	55.0	41.0	50.0	0.0	0.0	206.0	0.466019417476
ENSFDAG00000023177	74.0	63.0	87.0	67.0	0.0	0.0	291.0	0.515463917526
ENSFDAG00000018508	308.0	376.0	415.0	276.0	0.0	0.0	1375.0	0.575272727273
ENSFDAG00000020905	325.0	564.0	678.0	416.0	0.0	0.0	1983.0	0.626323751891
ENSFDAG00000023178	114.0	122.0	134.0	123.0	0.0	0.0	493.0	0.519269776876
ENSFDAG00000023179	527.333333333	413.333333333	403.333333333	518.0	0.0	0.0	1862.0	0.438596491228
ENSFDAG00000008552	831.0	709.0	661.0	846.0	14.0	0.0	3061.0	0.447566154851
ENSFDAG00000023180	882.0	562.0	540.0	844.0	0.0	0.0	2828.0	0.389674681754
ENSFDAG00000016080	123.0	194.0	152.0	119.0	0.0	0.0	588.0	0.58843537415
ENSFDAG00000014198	1523.0	1008.0	954.0	1271.0	0.0	0.0	4756.0	0.412531539108
ENSFDAG00000001492	215.0	204.0	126.0	286.0	0.0	0.0	831.0	0.397111913357
ENSFDAG00000023181	169.0	189.0	150.0	169.0	0.0	0.0	677.0	0.500738552437
ENSFDAG00000020441	33.0	22.0	24.0	28.0	0.0	0.0	107.0	0.429906542056
ENSFDAG00000007339	1122.0	1409.0	1209.5	1523.5	1.0	0.0	5265.0	0.497340930674
ENSFDAG00000017044	34.0	22.0	23.0	26.0	0.0	0.0	105.0	0.428571428571
ENSFDAG00000030000	250.5	359.5	346.0	229.0	0.0	0.0	1185.0	0.595358649789
ENSFDAG00000006255	1012.0	868.0	777.0	1058.0	0.0	0.0	3715.0	0.442799461642
ENSFDAG00000020923	1307.0	966.0	1070.0	1272.0	0.0	0.0	4615.0	0.441170097508
ENSFDAG00000010279	241.0	321.0	222.0	485.0	0.0	0.0	1269.0	0.427895981087
ENSFDAG00000009510	1590.0	1021.0	1115.0	1737.0	0.0	0.0	5463.0	0.390993959363
ENSFDAG00000020127	57.0	77.0	87.0	86.0	0.0	0.0	307.0	0.534201954397
ENSFDAG00000030010	230.0	247.0	245.0	276.0	0.0	0.0	998.0	0.492985971944
ENSFDAG00000001921	27.0	20.0	23.0	33.0	0.0	0.0	103.0	0.417475728155
ENSFDAG00000030022	245.0	206.0	220.0	223.0	0.0	0.0	894.0	0.476510067114
ENSFDAG00000030026	113.5	80.0	94.0	78.0	0.0	0.0	365.5	0.476060191518
ENSFDAG00000030036	152.0	62.0	72.0	149.0	0.0	0.0	435.0	0.308045977011
ENSFDAG00000030042	65.0	31.0	41.0	76.0	0.0	0.0	213.0	0.338028169014
ENSFDAG00000030049	298.0	234.0	208.0	320.0	0.0	0.0	1060.0	0.416981132075
ENSFDAG00000030054	133.0	105.0	110.0	154.0	0.0	0.0	502.0	0.42828685259
ENSFDAG00000030060	167.0	98.0	93.0	107.0	0.0	0.0	465.0	0.410752688172
ENSFDAG00000030069	214.0	161.0	156.0	241.0	0.0	0.0	772.0	0.410621761658
ENSFDAG00000030072	182.666666667	131.666666667	138.333333333	166.666666667	0.0	0.0	619.333333333	0.435952637244
ENSFDAG00000030087	149.0	140.666666667	130.666666667	170.333333333	0.0	0.0	590.666666667	0.459367945824
ENSFDAG00000030113	191.0	171.0	118.0	169.0	0.0	0.0	649.0	0.44530046225
ENSFDAG00000030120	302.0	229.0	274.0	247.0	0.0	0.0	1052.0	0.478136882129
ENSFDAG00000030126	44.0	48.0	48.0	61.0	0.0	0.0	201.0	0.477611940299
ENSFDAG00000007234	784.0	557.0	547.0	692.0	0.0	0.0	2580.0	0.427906976744
ENSFDAG00000026220	201.0	134.0	183.0	166.0	0.0	0.0	684.0	0.463450292398
ENSFDAG00000026221	274.0	173.0	205.0	184.0	0.0	0.0	836.0	0.452153110048
ENSFDAG00000006551	210.666666667	168.0	162.666666667	143.666666667	0.0	0.0	685.0	0.482725060827
ENSFDAG00000012674	1536.0	1169.0	1157.0	1475.0	0.0	0.0	5337.0	0.435825370058
ENSFDAG00000026222	136.0	83.0	105.0	144.0	0.0	0.0	468.0	0.401709401709
ENSFDAG00000000671	26.0	19.0	21.0	32.0	0.0	0.0	98.0	0.408163265306
ENSFDAG00000026223	110.0	102.0	88.0	186.0	0.0	0.0	486.0	0.390946502058
ENSFDAG00000026224	188.0	129.0	141.0	163.0	0.0	0.0	621.0	0.434782608696
ENSFDAG00000026225	136.0	120.0	140.0	122.0	0.0	0.0	518.0	0.501930501931
ENSFDAG00000026226	50.0	54.0	31.0	70.0	0.0	0.0	205.0	0.414634146341
ENSFDAG00000026227	217.0	173.0	175.0	268.0	0.0	0.0	833.0	0.417767106843
ENSFDAG00000026228	238.0	167.0	170.0	223.0	0.0	0.0	798.0	0.422305764411
ENSFDAG00000026229	303.0	337.0	490.0	366.0	0.0	0.0	1496.0	0.552807486631
ENSFDAG00000026230	46.0	54.0	70.0	63.0	0.0	0.0	233.0	0.532188841202
ENSFDAG00000026231	166.0	157.0	170.0	183.0	0.0	0.0	676.0	0.483727810651
ENSFDAG00000026232	351.0	320.0	247.0	475.0	0.0	0.0	1393.0	0.407035175879
ENSFDAG00000025341	184.5	138.5	178.0	180.5	0.0	0.0	681.5	0.464416727806
ENSFDAG00000020551	161.0	144.0	198.0	166.0	0.0	0.0	669.0	0.511210762332
ENSFDAG00000025342	93.0	88.0	90.0	109.0	0.0	0.0	380.0	0.468421052632
ENSFDAG00000004150	275.5	171.5	208.5	313.5	0.0	0.0	969.0	0.392156862745
ENSFDAG00000025343	271.0	232.0	195.0	303.0	0.0	0.0	1001.0	0.426573426573
ENSFDAG00000000138	72.0	69.0	88.0	66.0	0.0	0.0	295.0	0.532203389831
ENSFDAG00000025345	209.0	186.0	188.0	214.0	0.0	0.0	797.0	0.469259723965
ENSFDAG00000025347	58.0	45.0	60.0	63.0	0.0	0.0	226.0	0.464601769912
ENSFDAG00000025349	42.0	46.0	39.0	63.0	0.0	0.0	190.0	0.447368421053
ENSFDAG00000025351	128.0	105.0	104.0	79.0	0.0	0.0	416.0	0.502403846154
ENSFDAG00000025352	266.0	170.0	168.0	194.0	0.0	0.0	798.0	0.423558897243
ENSFDAG00000025354	163.0	101.0	119.0	146.0	0.0	0.0	529.0	0.415879017013
ENSFDAG00000000383	568.0	526.0	538.0	672.0	0.0	0.0	2304.0	0.461805555556
ENSFDAG00000020594	602.0	639.0	483.0	798.0	0.0	0.0	2522.0	0.444885011895
ENSFDAG00000015873	366.0	311.0	334.0	361.0	0.0	0.0	1372.0	0.470116618076
ENSFDAG00000020984	695.0	811.0	811.0	700.0	0.0	0.0	3017.0	0.537620152469
ENSFDAG00000017223	808.5	870.0	885.5	800.0	0.0	0.0	3364.0	0.521848989298
ENSFDAG00000012529	709.0	978.0	1004.0	772.0	0.0	0.0	3463.0	0.572336124747
ENSFDAG00000022860	162.0	150.0	180.0	163.0	0.0	0.0	655.0	0.503816793893
ENSFDAG00000006512	256.0	203.0	145.0	269.0	0.0	0.0	873.0	0.398625429553
ENSFDAG00000012265	250.0	243.0	248.0	173.0	0.0	0.0	914.0	0.537199124726
ENSFDAG00000018652	785.0	499.5	442.0	719.0	0.0	0.0	2445.5	0.384992843999
ENSFDAG00000014098	537.0	392.0	394.0	463.0	0.0	0.0	1786.0	0.440089585666
ENSFDAG00000007365	729.0	532.0	547.0	779.0	0.0	0.0	2587.0	0.417085427136
